Food,Disease,Clinical Trial,Food.or.Diet.Related,title,author,journal,number,cites,year,pubid,
"tomato, phytochemicals",,yes,yes,"Enhanced bioavailability of lycopene when consumed as cis‐isomers from tangerine compared to red tomato juice, a randomized, cross‐over clinical trial","JL Cooperstone, RA Ralston, KM Riedl, TC Haufe, RM Schweiggert, ...",Molecular nutrition & food research,"59 (4), 658-669",124,2015,zYLM7Y9cAGgC,
,,,,Colorants,"SJ Schwartz, JL Cooperstone, MJ Cichon, JH von Elbe, MM Giusti",Fennema's Food Chemistry,681-752,111,2017,qsWQJNntlusC,
"tomato, phytochemicals, vegetables",,yes,yes,Avocado consumption enhances human postprandial provitamin A absorption and conversion from a novel high–β-carotene tomato sauce and from carrots,"RE Kopec, JL Cooperstone, RM Schweiggert, GS Young, EH Harrison, ...",The Journal of nutrition,"144 (8), 1158-1166",72,2014,d1gkVwhDpl0C,
phytochemicals,,,,Dietary apigenin reduces LPS‐induced expression of miR‐155 restoring immune balance during inflammation,"D Arango, M Diosa‐Toro, LS Rojas‐Hernandez, JL Cooperstone, ...",Molecular nutrition & food research,"59 (4), 763-772",50,2015,txeM2kYbVNMC,
,,,,Analysis methods of carotenoids,"RE Kopec, JL Cooperstone, MJ Cichon, SJ Schwartz",Analysis of antioxidant-rich phytochemicals,"5, 105-148",44,2012,u5HHmVD_uO8C,
fruits,,yes,yes,Urinary excretion of Citrus flavanones and their major catabolites after consumption of fresh oranges and pasteurized orange juice: A randomized cross‐over study,"JK Aschoff, KM Riedl, JL Cooperstone, J Högel, A Bosy‐Westphal, ...",Molecular nutrition & food research,"60 (12), 2602-2610",37,2016,UebtZRa9Y70C,
phytochemicals,"cancer, cardiovascular disease, macular degeneration, photosensitivity",,yes,Recent Insights Into Health Benefits of Carotenoids,"JL Cooperstone, SJ Schwartz",Handbook on Natural Pigments in Food and Beverages: Industrial Applications …,,32,2016,LkGwnXOMwfcC,
other,,,yes,"Changes in chlorophylls, chlorophyll degradation products and lutein in pistachio kernels (Pistacia vera L.) during roasting","G Pumilia, MJ Cichon, JL Cooperstone, D Giuffrida, G Dugo, SJ Schwartz",Food Research International,"65, 193-198",29,2014,IjCSPb-OGe4C,
tomato,prostate cancer,,yes,"β-Carotene 9′, 10′ oxygenase modulates the anticancer activity of dietary tomato or lycopene on prostate carcinogenesis in the TRAMP model","HL Tan, JM Thomas-Ahner, NE Moran, JL Cooperstone, JW Erdman, ...",Cancer Prevention Research,"10 (2), 161-169",27,2017,hqOjcs7Dif8C,
tomato,keratinocyte carcinoma,,yes,Tomatoes protect against development of UV-induced keratinocyte carcinoma via metabolomic alterations,"JL Cooperstone, KL Tober, KM Riedl, MD Teegarden, MJ Cichon, ...",Scientific reports,"7 (1), 1-9",24,2017,rbGdIwl2e6cC,
